venue,total_runs
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",200.0
"Arun Jaitley Stadium, Delhi",190.34375
"Eden Gardens, Kolkata",190.15625
"M Chinnaswamy Stadium, Bengaluru",190.07142857142858
"Himachal Pradesh Cricket Association Stadium, Dharamsala",189.375
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",185.6
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",182.42307692307693
M.Chinnaswamy Stadium,179.42857142857142
Brabourne Stadium,174.05
Punjab Cricket Association IS Bindra Stadium,173.8
